,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,id
61,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,-11373,-1371,0,0,0,Managers,3.0,-15.0,61
62,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17402,-3153,0,1,0,Core staff,2.0,-40.0,62
63,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,-15586,-3337,0,0,0,Managers,2.0,-21.0,63
64,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9047,-716,0,0,0,Security staff,1.0,-32.0,64
65,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,-12729,-4936,1,0,0,Cleaning staff,2.0,-10.0,65
66,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-13761,-2783,0,0,0,Laborers,3.0,-4.0,66
67,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,0,0,0,High skill tech staff,4.0,-2.0,67
68,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,0,0,0,Laborers,2.0,-14.0,68
69,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-15462,-2969,0,0,1,Medicine staff,2.0,-59.0,69
70,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,0,1,0,Laborers,1.0,-39.0,70
71,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15904,-3787,0,0,0,Laborers,4.0,-54.0,71
72,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,-21574,-1081,0,1,0,NaN,2.0,-4.0,72
73,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23269,365243,0,1,0,NaN,2.0,-34.0,73
74,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-10350,-219,1,1,0,Sales staff,3.0,-25.0,74
75,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,0,0,1,Core staff,2.0,-34.0,75
76,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,0,NaN,2.0,-15.0,76
77,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-9818,-520,0,0,0,Core staff,1.0,-7.0,77
78,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12690,-231,1,0,0,Sales staff,2.0,-23.0,78
79,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,0,0,0,Core staff,2.0,-2.0,79
80,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17862,-212,0,0,0,Laborers,2.0,-2.0,80
81,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10314,-962,0,0,1,Sales staff,2.0,0.0,81
82,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,-15274,-1423,0,0,1,Accountants,2.0,-53.0,82
83,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,-11905,-1700,0,0,0,High skill tech staff,4.0,-38.0,83
84,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23563,365243,0,1,0,NaN,2.0,-27.0,84
85,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,-18013,-1215,0,0,0,Laborers,2.0,-41.0,85
86,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,0,1,Drivers,3.0,-45.0,86
87,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13270,-235,1,1,1,Core staff,1.0,-56.0,87
88,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20412,-5427,0,0,0,Managers,2.0,-45.0,88
89,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14465,-4145,1,1,0,Managers,2.0,-59.0,89
90,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-20200,-9404,1,0,0,Cleaning staff,2.0,-30.0,90
91,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18744,-2988,0,0,0,Private service staff,2.0,-20.0,91
92,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,0,0,0,Laborers,3.0,-5.0,92
93,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19053,-3629,0,0,0,High skill tech staff,1.0,-22.0,93
94,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,365243,0,0,0,NaN,2.0,-26.0,94
95,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16081,365243,0,1,0,NaN,2.0,-14.0,95
96,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23674,-2087,0,0,0,Security staff,2.0,-56.0,96
97,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9373,-1212,0,0,0,Drivers,2.0,-46.0,97
98,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,0,0,1,Sales staff,1.0,-5.0,98
99,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,0,1,1,Medicine staff,1.0,-35.0,99
100,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-22112,-8491,0,0,0,Private service staff,2.0,-9.0,100
101,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,0,Managers,2.0,-2.0,101
102,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12269,-604,0,0,0,Managers,3.0,-12.0,102
103,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,0,Managers,2.0,-12.0,103
104,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15994,-2537,0,1,0,Sales staff,1.0,-7.0,104
105,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984,-2606,0,0,0,Laborers,2.0,-5.0,105
106,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16118,-1959,0,1,0,NaN,3.0,-47.0,106
107,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,0,0,0,NaN,3.0,-4.0,107
108,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,-10762,-683,0,1,0,Core staff,1.0,-22.0,108
109,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-22811,-2234,1,1,0,High skill tech staff,2.0,-13.0,109
110,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-12846,-164,0,0,0,Managers,2.0,-57.0,110
111,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,0,0,0,Drivers,3.0,-44.0,111
112,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17826,-201,0,1,0,Laborers,1.0,-4.0,112
113,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17384,-1138,0,0,0,Cooking staff,4.0,-36.0,113
114,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11564,-2944,0,0,1,Managers,4.0,-43.0,114
115,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20920,365243,0,0,0,NaN,2.0,-49.0,115
116,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,-14317,-2751,0,0,0,Managers,3.0,-11.0,116
117,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16173,-674,0,0,0,Sales staff,2.0,-27.0,117
118,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-18259,-5756,0,1,0,Sales staff,2.0,-47.0,118
119,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12393,-1854,1,1,0,Cooking staff,4.0,0.0,119
120,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,365243,0,0,0,NaN,1.0,-4.0,120
121,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,-16641,-9988,1,1,0,Sales staff,2.0,-35.0,121
122,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,-12902,-4120,0,0,0,Core staff,4.0,-39.0,122
123,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19431,-6226,0,0,0,High skill tech staff,2.0,-48.0,123
124,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15525,-3357,0,0,0,Accountants,4.0,-55.0,124
125,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12483,-4039,0,0,0,Managers,2.0,-42.0,125
126,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-11709,-4983,0,0,0,Laborers,2.0,-45.0,126
127,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,-16537,-410,0,1,1,Laborers,3.0,-30.0,127
128,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13741,-5221,0,0,0,Laborers,3.0,-38.0,128
129,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17537,-1749,0,0,0,Laborers,3.0,-11.0,129
130,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,0,0,0,Laborers,1.0,-1.0,130
131,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228,-5330,0,1,0,NaN,2.0,-33.0,131
132,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-10559,-429,1,1,0,Drivers,2.0,-35.0,132
133,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,-13168,-2574,0,0,0,Managers,3.0,-22.0,133
134,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22991,365243,0,0,0,NaN,1.0,-6.0,134
135,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,-15333,-196,0,1,0,Managers,2.0,-23.0,135
136,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12640,-399,0,0,0,Accountants,3.0,-29.0,136
137,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13591,-3246,0,0,0,Sales staff,3.0,-46.0,137
138,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24367,365243,0,0,0,NaN,2.0,-2.0,138
139,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,0,1,0,NaN,2.0,-39.0,139
140,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,-11917,-1680,1,0,0,Laborers,3.0,-15.0,140
141,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,0,0,1,Core staff,3.0,-12.0,141
142,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-22456,-1934,0,1,0,Managers,2.0,-11.0,142
143,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-1071,0,0,1,Core staff,2.0,-45.0,143
144,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10351,-1322,0,0,0,NaN,2.0,-8.0,144
145,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,0,1,0,Medicine staff,2.0,-7.0,145
146,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,-14136,-7400,1,1,0,Managers,2.0,-6.0,146
147,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-12681,-709,0,0,0,Sales staff,2.0,-11.0,147
148,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14496,-808,0,1,0,NaN,2.0,-26.0,148
149,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12974,-2379,0,0,0,Laborers,4.0,-49.0,149
150,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,-11900,-2828,0,0,0,Laborers,3.0,-41.0,150
151,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15344,-314,0,0,0,Drivers,2.0,-33.0,151
152,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,-10597,-574,1,0,0,Medicine staff,1.0,-35.0,152
153,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17975,-3476,0,0,0,Drivers,2.0,-32.0,153
154,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,-18868,-10993,1,0,0,NaN,2.0,-46.0,154
155,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20362,365243,0,0,0,NaN,2.0,-35.0,155
156,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,0,0,0,Laborers,2.0,-38.0,156
157,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,0,0,0,NaN,4.0,-44.0,157
158,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,-10756,-2355,0,0,0,Core staff,3.0,-39.0,158
159,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,-21899,365243,0,1,0,NaN,2.0,-51.0,159
160,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,-17136,-1266,0,0,0,Sales staff,3.0,-11.0,160
161,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,-13465,-839,0,1,0,Managers,4.0,-33.0,161
162,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,0,0,Managers,2.0,-60.0,162
163,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22044,365243,0,0,0,NaN,2.0,-24.0,163
164,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-20815,-829,0,0,1,Security staff,2.0,-3.0,164
165,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,-21017,-895,1,1,0,NaN,2.0,-4.0,165
166,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21596,365243,0,1,0,NaN,1.0,-15.0,166
167,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15980,-119,1,1,0,Drivers,2.0,-14.0,167
168,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,0,NaN,2.0,-21.0,168
169,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-14077,-3792,0,0,0,NaN,2.0,-3.0,169
170,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,0,1,1,Core staff,3.0,-60.0,170
171,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15499,-869,0,0,0,Private service staff,2.0,-2.0,171
172,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-8091,0,0,0,NaN,3.0,-49.0,172
173,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23086,365243,0,0,0,NaN,2.0,-19.0,173
174,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-10755,-1040,0,0,1,Sales staff,2.0,-15.0,174
175,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10705,-1376,0,0,0,Drivers,2.0,-2.0,175
176,F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,-17940,-9957,1,0,0,Managers,2.0,-26.0,176
177,F,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,0,0,0,NaN,1.0,-22.0,177
178,M,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20288,365243,0,0,0,NaN,2.0,-12.0,178
179,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-16990,-2026,0,0,0,Drivers,2.0,-19.0,179
180,F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,-20791,-4814,1,1,0,Managers,1.0,-58.0,180
181,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20718,365243,0,0,0,NaN,2.0,-5.0,181
182,F,N,Y,2,67500.0,Working,Higher education,Married,House / apartment,-10281,-961,1,0,0,NaN,4.0,-12.0,182
183,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22861,365243,0,1,0,NaN,2.0,-42.0,183
184,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Office apartment,-15092,-995,0,0,1,Drivers,2.0,-46.0,184
185,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803,-2227,1,1,0,Cleaning staff,1.0,-49.0,185
186,F,Y,Y,0,216000.0,Working,Higher education,Married,House / apartment,-18529,-1809,0,0,0,Secretaries,2.0,-10.0,186
187,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,0,0,0,Laborers,3.0,-4.0,187
188,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20027,365243,0,0,0,NaN,1.0,-26.0,188
189,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,0,0,0,NaN,2.0,-44.0,189
190,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23262,365243,0,1,0,NaN,1.0,-13.0,190
191,F,N,N,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21310,365243,0,0,0,NaN,2.0,-28.0,191
192,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2.0,-14.0,32
193,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16224,-2574,0,0,0,Security staff,2.0,-22.0,192
194,M,Y,N,1,252000.0,State servant,Higher education,Married,House / apartment,-12483,-1650,1,1,0,High skill tech staff,3.0,-19.0,193
195,F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10981,-552,0,0,0,Laborers,2.0,-5.0,194
196,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-9889,-2289,0,0,0,Managers,2.0,-36.0,195
197,M,N,Y,1,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11524,-2554,0,0,0,Sales staff,3.0,-49.0,196
198,F,N,Y,2,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-13077,-5394,1,0,0,Medicine staff,4.0,-26.0,197
199,F,N,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-658,0,1,0,Sales staff,4.0,-11.0,198
200,M,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-14646,-1953,0,0,0,Managers,2.0,-3.0,199
