제목,내용
"방탄소년단 진, 가을 <b>남자</b>의 출국 <b>패션</b>[포토엔HD]","
 
[인천공항(영종도)=뉴스엔 정유진 기자] 방탄소년단(BTS) 멤버 진이 9월 11일 오후 인천 중구 운서동 인천국제공항 제 2여객터미널을 통해 해외 일정 참석 차 미국 로스앤젤레스로 출국하고 있다.
"
"넵튠 &quot;2D 게임 주인공 정하이, 서울<b>패션</b>위크 모델 데뷔&quot;","





'러브언홀릭' 주인공 캐릭터 '정하이' /넵튠 제공2D 게임 캐릭터로는 처음 모델 에이전시와 정식 계약을 체결해 화제를 모았던 '정하이(JUNG HI)'가 이번에는 서울패션위크 무대에 선다.넵튠 자회사 프리티비지는 자사 대표작 '러브언홀릭' 주인공 캐릭터 '정하이'가 오는 11일 개막하는 '2023 S/S 서울패션위크'에서 패션 브랜드 그리디어스 오프닝 무대에 영상 모델로 출연한다고 5일 밝혔다.3D 캐릭터와 패션 브랜드 간 협업은 사례가 있지만 정식 모델 에이전시에 등재된 2D 남자 게임 캐릭터가 오프라인 패션 행사에 데뷔하는 것은 이번이 첫 사례다.윤나라 프리티비지 대표는 ""정하이는 인스타그램 오픈 한 달 만에 8000명 이상 팔로워를 확보할 만큼 인기 있는 현실에 존재하는 모델""이라며 ""이번 데뷔를 통해 단발성 주목이 아닌 팬을 위해 소통하고 성장하는 메타버스 휴먼 정하이를 보여드리고 싶었다""고 말했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write

"
"여성향 게임 남주인공 ‘정하이’, 서울<b>패션</b>위크 무대 선다","

패션 브랜드 ‘그리디어스’ 대표 모델로 참여“새로운 콘텐츠 시장에도 도전 꾀할 것”



넵튠의 자회사 프리티비지는 자사의 대표작 러브언홀릭 주인공 캐릭터 정하이가 오는 11일 개막하는 ‘2023 S/S 서울패션위크’에서 하이패션 브랜드 그리디어스의 오프닝 무대에 영상 모델로 출연한다고 5일 밝혔다.ⓒ넵튠[데일리안 = 민단비 기자] 2D 게임 캐릭터로는 처음으로 모델 에이전시와 정식 계약을 체결해 화제를 모았던 정하이가 서울패션위크 무대에 선다.넵튠의 자회사 프리티비지는 자사의 대표작 러브언홀릭 주인공 캐릭터 정하이가 오는 11일 개막하는 ‘2023 S/S 서울패션위크’에서 하이패션 브랜드 그리디어스의 오프닝 무대에 영상 모델로 출연한다고 5일 밝혔다.3D 캐릭터와 패션 브랜드 간의 협업은 사례가 있지만, 정식 모델 에이전시에 등재된 2D 남자 게임 캐릭터가 오프라인 패션 행사에 데뷔하는 것은 이번이 첫 사례라고 회사 측은 설명했다.정하이는 그리디어스를 대표하는 모델 중 하나로 서울패션위크 무대에서 영상을 통해 그리디어스가 표현하고자 하는 패션을 관객들에게 선보일 예정이다. 2009년 론칭한 하이패션 디자이너 브랜드인 그리디어스는 지난 2월 열린 뉴욕 패션위크에서 LG가 선보인 인공지능(AI) 휴먼 틸다와도 협업을 진행한 바 있다.윤나라 프리티비지 “이번 데뷔를 통해 단발성 주목이 아닌, 팬을 위해 소통하고 성장하는 메타버스 휴먼 정하이를 보여드리고 싶었다”며 “정하이를 통해 패션 업계와 다양한 콜라보를 모색 중이며, 게임이 아닌 다른 콘텐츠 시장에도 도전해 새로운 도약을 꾀할 것”이라고 말했다.
		
"
"<b>남자</b> 쇼핑앱 하이버, 영업이익 첫 흑자 전환","

충성도 높은 남자 고객 ‘락인 효과’ 작용누적거래액 3000억원 돌파 거래액 성장 지속상품 셀렉션 확대·서비스 고도화로 수익성 박차[이데일리 백주아 기자] 브랜디가 운영하는 남자쇼핑앱 ‘하이버’가 첫 흑자전환에 성공했다고 11일 밝혔다. 지난 9월 사업 부문 영업이익 기준으로 2018년 11월 하이버 서비스 론칭 후 첫 흑자 전환을 기록한 것이다. 



하이버 첫 흑자전환. (사진=브랜디)이는 패션플랫폼 시장이 치열하게 경쟁하고 있는 가운데 1위 남자 쇼핑앱인 하이버의 지속 가능 성장성에 대한 긍정적 시그널로 평가된다는 설명이다. 하이버는 남자 쇼핑앱 시장 성장성에 대한 기대감을 높일 것으로 보고 있다. 성과 배경으로 하이버가 독보적인 1등 ‘남자 쇼핑앱’으로 확고히 자리 잡으면서 충성도 높은 남자 고객들의 ‘락인 효과’를 거두고 있다는 것을 꼽을 수 있다. 실제로 하이버는 ‘남자들의 모든 쇼핑 고민을 해결한다’는 미션 아래 남자 패션부터 디지털, 스포츠, 라이프용품 등 카테고리를 확장해왔다. 남자들이 쇼핑을 보다 쉽게 해결할 수 있도록 시즌별 스타일링 코디 콘텐츠를 지속적으로 확대해 만족도를 높였다. 하이버는 올해 6월 중순 기준으로 누적거래액 3000억원을 돌파했다. 올해 1~9월까지 누적 거래액은 전년 동기 대비 50% 수준 큰 폭의 성장세를 기록했다. 9월 말 기준 누적 상품수는 전년 동기 대비 80% 가량 증가해 상품 컬렉션 강화에 집중해온 결과 9월 기준 회원수는 올해 초 대비 70% 가량 증가했다. 구매전환율도 지난 1월 대비 약 40%나 개선되는 등 괄목할만한 성과를 나타냈다는 설명이다.  하이버는 커머스 시장에서 영토를 넓혀오며 판매 채널이 제한적이었던 남자 의류, 스포츠 등 남성 타깃 판매자들의 중요한 성장 파트너로서 역할을 하고 있다. 하이버의 판매자 데이터에 따르면 9월 기준 거래액 상위 50위에 해당하는 판매자들의 평균 거래액은 전년 동기 대비 100% 이상 증가했고 올해 1~9월까지 거래액이 100% 이상 급증한 판매자수는 전년 동기 대비 250% 가량 눈에 띄게 늘었다. 하이버 관계자는 “고객의 95%가 남자인 하이버는 남자 라이프스타일에 최적화된 상품을 고민없이 편하고 쉽게 구매할 수 있도록 플랫폼의 본질적 경쟁력을 키우는데 집중해 왔으며 이것이 수익성 제고로 이어지고 있다“며 ”향후 이러한 흐름을 장기적으로 확보해 건강한 성장을 이어갈 수 있도록 최선의 노력을 다하겠다”고 말했다.

"
"[공식] 티아라 출신 효민, 앤드마크와 전속계약 체결..전종서X박진주X장영남과...","
 
[스포츠조선 조지영 기자] 걸그룹 티아라 출신 가수 겸 배우 효민이 앤드마크와 손을 잡았다.소속사 앤드마크는 ""음악, 연기, 예능 등 다방면에서 활약을 펼치며 글로벌한 입지를 다져온 효민과 전속계약을 체결했다""라며 ""다재다능한 면모를 지닌 효민이 마음껏 역량을 꽃피울 수 있도록 적극적인 지원을 아끼지 않겠다""라고 밝혔다.지난 2009년 그룹 티아라로 데뷔한 효민은 수많은 히트곡으로 국내를 넘어 해외에서도 높은 인기를 얻었다. 이후 솔로 가수로서 활발한 활동을 펼친 효민은 남다른 뷰티 및 패션 센스로 뷰티 프로그램 MC로도 활약하며 대중들에게 눈도장을 찍었다.실력과 비주얼을 두루 겸비한 효민은 드라마 '내 여자친구는 구미호', '계백', '천 번째 남자', 영화 '기생령', '연애 징크스!!!' 등 작품을 통해 안정적인 연기를 선보였고, 특히 '계백'으로 'MBC 연기대상'에서 여자 신인상을 수상하며 연기자로서 무궁무진한 가능성도 보여줬다.이처럼 효민은 가수부터 배우 활동까지 변화를 두려워하지 않고 새로운 도전을 이어가고 있는 가운데, 앤드마크와 함께 발휘할 시너지에 기대가 모아진다.앤드마크는 김아현, 김예원, 김현수, 김혜준, 류덕환, 박진주, 백진희, 신시아, 이주빈, 이지민, 장영남, 저스틴 하비, 전종서, 정동훈, 주세빈, 진서연, 차유진, 최준영, 하도권, 한재이 등이 소속된 종합엔터테인먼트사로, '서울대작전', '소울메이트', '우씨 왕후' 등의 영화와 드라마 제작에 참여하며 사업을 다각화시키고 있다.
"
연기 잘하는 천우희와 김동욱 언제 만나나 했는데 ‘이로운 사기’,"





tvN 제공배우 천우희가 ‘멜로가 체질’ 이후 4년 만에 드라마 복귀작으로 선택한 tvN 월화드라마 ‘이로운 사기’(한우주 극본 이수현 연출)가 산뜻한 출발을 했다.지난 29일 방영된 첫 회는 공감능력 0인 천재 사기꾼 이로움(천우희)이 부모를 살해한 혐의로 10년째 수감됐다가 풀려나는 장면으로 시작했다. 냉철한 외모와 달리 공감 능력이 지나쳐 정신과 상담을 받아야만 일상을 영위할 수 있는 한무영(김동욱) 변호사가 이로움을 돕게 된다. 풀려난 이로움은 뛰어난 암기력으로 카지노에서 돈을 버는 한편 한무영에게 눈물을 흘리며 접근한다. 한무영은 가짜 눈물임을 알아챈다.이로움은 지금은 사라진 적목재단의 장학생이었던 사실이 밝혀져 하나의 실마리가 된다. 그가 출소 뒤 가장 먼저 찾은 곳을 추적하던 한무영은 신기호 교수를 살해하려는 이로움을 막아선다. 한무영은 이로움이 청구한 국가배상 소송 변론을 포기하고 진실을 추적하기로 마음먹는다. 경력을 망가뜨릴 수 있는 선택이다. 1회 시청률 4.6%, 2회는 3.5%였다.‘천의 얼굴’ 천우희는 심드렁한 표정과 상투적인 거짓말, 목적을 위해 수단과 방법을 가리지 않는 공감 불능을 얼굴에 새겨낸다. 격렬한 분노, 언뜻 드러내는 적개심이 신분을 위장하기 위한 패션과 어우러져 눈길을 붙든다. 김동욱은 어릴 적 여리고 여렸던 이로움으로 되돌려놓겠다고 결심하고도 번뇌하고 갈등하는 한무영을 오롯이 표현해내고 있다.그는 KBS 2TV에서 같은 시간대 방영되는 ‘어쩌다 마주친, 그대’에도 주인공으로 출연하고 있다.‘그 남자의 기억법’ ‘낮과 밤’ ‘별똥별’ 등을 연출한 이수현 PD가 연출하고 스튜디오 드래곤 극본 공모전에서 133대 1 경쟁을 뚫고 뽑힌 1990년대생 한우주 작가의 재능이 번뜩인다. 이 PD와 김동욱은 ‘그 남자의 기억법’ ‘별똥별’ 등에서 호흡을 맞춘 인연이 있다. 이 PD는 “인물들의 서사는 깊고 처연하지만 블랙코미디와 스릴러 등 여러 장르를 넘나들 것”이라면서 “그 균형이 무너지지 않도록 많은 신경을 썼다”고 밝혔다.
		
"
"“<b>남자</b>들은 손석구 <b>패션</b> 따라하면 안돼, 여자들이 싫어해” 고태용 디자이너","
 
[마이데일리 = 곽명동 기자]유명 패션 브랜드 ‘비욘드 클로젯’의 고태용 디자이너가 손석구의 패션 스타일을 분석했다. 그는 최근 유튜브에서 “손석구는 시대가 원하는 얼굴상”이라고 운을 뗐다.  
이어 “가장 주의해서 봐야할 점은 꾸안꾸다. 패션을 좋아하는 배우다. 얼굴 생김새와 패션 스타일이 잘 어울린다”고 설명했다. 그러면서 “뱀상 중에서도 섹시한 상류층 뱀이다. 여자들이 진짜 좋아하는 얼굴이다”라면서 “특히 제일 좋은게 명품 브랜드를 입지 않는다는 것이다. 심플하게 스타일링한다”고 전했다. 그는 “후드티에 코트를 입었는데 심플하면서도 뭔가 있어 보이는 느낌을 준다. 또 브라운색 계열의 면바지나 물빠진 청바지를 입는데, 빈티지를 좋아하는 것 같다”고 했다. 고태용 디자이너는 “남자들은 손석구 따라하면 안된다. 나이에서 그 정도 사이즈가 풍겨야한다. (손석구 따라하면) 여자들이 싫어한다”라고 말해 웃음을 자아냈다. 고태용은 한국 디자이너 패션 어워즈에서 신인상, 우수상, 최우수상 모두 수상한 최초의  디자이너다. 그는 '민화와 클래식의 만남'을 주제로 라비와 함께 메타패션 작업을 진행 중이다. 한편 고태용 디자이너는 9일 제주드림타워(그랜드하얏트제주) 3~4층에 위치한 국내 최대 한컬렉션(HAN Collection) K패션몰에 입점했다. [사진 = 고태용 유튜브 캡처](곽명동 기자 entheos@mydaily.co.kr)
"
"BTS RM 공항<b>패션</b>, 머리부터 발끝까지 1억 1600만원","
 
Mnet ‘TMI NEWS SHOW’BTS RM의 반전 공항패션 비용이 화제다.지난 14일 방송된 Mnet ‘TMI NEWS SHOW’에서는 기록갱신! 케이팝 최초&최고 BEST5 순위가 공개됐다. 클라씨 형서, 혜주, 보은이 객원기자로 출연했다.이날 4위에 BTS 리더 RM이 이름을 올렸다. RM이 지난해 9월 해외 출국길에 선보인 공항패션은 그야말로 반전이었다.동네 형들이 흔히 입을 것 같은 수수한 회색 트레이닝 후드는 명품 L사 제품으로 155만원, 트레이닝 팬츠는 138만원이었다.슬리퍼는 131만원. 가방은 427만원, 가방에 달린 당근 모양의 참 장식은 162만원이었다.여기에 화룡정점은 시계였다. 남자 패션의 완성이라 불리는 시계는 하이엔드 브랜드 P사 제품으로 1억 600만원으로 알려졌다.이날 RM의 꾸안꾸 공항패션은 무려 1억 1600만원으로 밝혀져 모두를 놀라게 했다. 
Mnet ‘TMI NEWS SHOW’강주일 기자 joo1020@kyunghyang.com
			"
"BTS RM 공항<b>패션</b>, 머리에서 발끝까지 1억 1600만원 (TMI뉴스쇼)[결정적장면]","
 
[뉴스엔 유경상 기자]뉴스엔 유경상 yooks@ BTS RM이 역대급 공항패션을 선보였다. 9월 14일 방송된 Mnet ‘TMI NEWS SHOW’에서는 기록갱신! 케이팝 최초&최고 BEST5 순위가 공개되며 클라씨 형서&혜주&보은이 객원기자로 출연했다. 이날 기록갱신! 케이팝 최고 BEST 4위에는 BTS RM이 올랐다. BTS 리더 RM은 공항패션으로 출국길마저 패션쇼장으로 만들어버렸다.  
작년 9월 RM이 선보인 회색 트레이닝 세트 공항패션은 옆집 오빠 같은 수수하고 편안한 패션이었지만 후드와 팬츠는 명품 L사 제품으로 후드 155만원, 팬츠 138만원, 총 293만원이었다. 슬리퍼는 131만원. 가방은 427만원, 당근 파우치는 162만원으로 가방 2개 가격만 598만원. 여기에 남자 패션의 완성이라 불리는 시계는 하이엔드 브랜드 P사 제품으로 1억 600만원으로 알려졌다.RM의 수수한 이날 공항패션은 머리에서 발끝까지 무려 1억 1600만원으로 알려져 놀라움을 안겼다. (사진=Mnet ‘TMI NEWS SHOW’ 캡처)
"
"‘1박 2일’, 화려한 공항 <b>패션</b>으로 무장한 다섯 <b>남자</b>...목적지는? [M+TV컷]","
 
1박2일 사진=KBS ‘1박 2일’ 멤버들이 사상 초유의 제주도 여행기에 ‘멘붕’ 상태가 된다.오는 5일 방송되는 ’1박 2일 시즌4’(이하 ‘1박 2일’) ‘공항 가는 길’ 특집에서는 제주도로 향하기 위한 멤버들의 기막힌 대장정이 펼쳐진다.이날 방송에서 멤버들은 어두컴컴한 새벽부터 공항으로 향해 오프닝을 진행한다. “오프닝을 톨게이트에서 하고, 배에서 하고. 다음은 비행기야?”라는 예언을 남겼던 연정훈은 “다음번엔 우주로 가나?”라면서 상상을 뛰어넘는 제작진의 무시무시한 기획력에 경악한다.하지만 다섯 남자는 이른 시간에도 화려한 공항 패션과 함께 ‘파워 연예인’ 비주얼을 자랑한다. 김종민은 눈부신 올 화이트 착장을 선보이는가 하면, 문세윤은 마치 유치원생 같은 귀여운 핑크색 조끼 차림으로 모두의 시선을 단번에 사로잡는다. “누가 새벽 4시에 김포 공항을 와!”라고 투덜거리면서 등장한 딘딘 또한 정 사이즈보다 훨씬 큰 ‘마법의 신발’을 신고 나타나 현장을 웃음바다로 만들었다는 후문이다.화기애애한 분위기도 잠시 행선지를 모르는 멤버들의 불안감이 점차 커지고, 곧이어 ‘고인물’ 김종민의 예상 시나리오에 따라 살벌한 난이도의 미션이 진행된다. 이들은 뿔뿔이 흩어져 각기 다른 방식으로 제주도에 향하게 된다. 진땀을 절로 유발하는 사상 초유의 대장정에 다섯 남자의 불만이 폭주했다고 해, 이들이 무사히 목적지에 도착할 수 있을지 본방송이 더욱 궁금해진다. 
"
<b>패션</b>왕은 누구? 베스트 ‘이승기’ VS 워스트 ‘박해수’ [스타@스캔],"
 
[앳스타일 박승현 기자] 여배우들만큼 화려하진 않지만 남배우들의 공식 석상 패션도 보는 재미가 쏠쏠하다. 드라마나 영화 속 캐주얼한 모습과 달리 포토월 앞에 서기 위해 치장한 남자 배우들의 스타일링. 머리부터 발끝까지 세련된 멋으로 중무장하거나 도전 정신으로 강렬한 모습을 선사하는 남자 배우들의 패션을 모았다. 엄지 척! 
이승기_캐주얼한 소재의 수트로 댄디함을 뽐낸 이승기. 답답함을 덜어낸 화이트 셔츠와 가벼운 소재로 연출된 수트의 조화가 균형감을 이룬다. 평소 깔끔하고 부드러운 멋을 지닌 이승기의 이미지와도 찰떡같이 어울리는 스타일링이다. 완벽한 ‘엄친아’ 이미지에 어울리는 이승기의 ‘독보적인’ 깔끔 패션. 멋져요! 
이광수_박시한 핏의 재킷과 데님 팬츠로 트렌디한 분위기를 냈다. 검은색 재킷은 이너 티셔츠와 함께 매치해 편안한 분위기를 자아냈고, 여기에 데님 팬츠는 워싱이 더해져 좀 더 캐주얼한 멋을 강조한다. 마무리 역시 스니커즈를 택해 가벼운 모양새를 완성했다. 공식 석상 의상으로는 조금 편한 느낌이지만 튀지 않는 심플한 조합을 택해 단정한 느낌이다.그럭저럭 
위하준_레더 재킷과 슬랙스로 시크한 룩을 선보인 위하준. 크롭 기장으로 떨어지는 레더 재킷과 핀턱 주름으로 날씬해보이는 슬랙스가 깔끔하다. 이렇다 할 특징 없는 단조로운 컬러감 때문에 이너라도 포인트를 줬다면 좋았을 텐데.그래도 의상의 소재를 다르게 택해 변주를 준 부분은 좋은 시도라 할 수 있겠다.코디가 누구세요? 
정우_무채색 코디로 깔끔한 이미지를 주고자 했지만, 흰색에 가까운 베이지색 롱 재킷과 팬츠 그리고 베이식한 이너 티셔츠의 조합이 마치 ‘인간 두부’를 연상시킨다. 색을 다 빼앗긴 듯 색채 없는 의상 때문에 포토월과 하나가 될 것 같다. 재킷을 벗고 좀 더 가벼운 룩을 연출했어도 좋았을 것만 같다. 맙.소.사  
박해수_월드 와이드 클래스의 ‘남다른’ 비범한 스타일링. 줄무늬가 더해진 스리 피스 수트와 목 끝까지 채운 단추, 그리고 타이까지. 제작발표회 의상이라기 보단 레스토랑 지배인 같다. 합성한 듯 ‘시선 강탈’하는 행커 치프와 줄무늬 셔츠까지 더해지니 어느 하나 눈 둘 곳 없는 강렬한 패션이 탄생했다. 훌륭한 피지컬의 소유자인 만큼 힘을 좀 빼고 캐주얼한 룩을 택했다면 어땠을지.(사진=KBS, tvN)
"
이정재보다 먼저 진주목걸이..여자 옷 입는 경이로운 <b>남자</b>들 (Oh!쎈 초점) [O...,"
 
[OSEN=최나영 기자] 성별 구분을 없애고 패션의 경계를 넓히는 일명 '젠더리스(Genderless) 패션'은 2022년 사람들에게 새로운 것은 아니다. 한국에서도 이미 지드래곤이 이 분야의 패피로 주목받고 있고 배우 황보라 같은 경우는 드라마 '달리와 감자탕'에서  포마드 헤어와 남성용 슈트 패션을 완벽하게 소화했던 바다. 최근 핑크빛 슈트에 진주목걸이를 차고 예능프로그램에 등장한 이정재는 장안의 화제였다.특히 'MZ세대'에서 이 같은 젠더리스 패션은 확고한 패션 트렌드로 자리 잡은 분위기인데 해외 연예계에서 최근 이 같은 젠더리스 패션으로 화제를 모은 3명의 인물을 살펴봤다. 
- MZ세대 아이콘, 티모시 샬라메영화 '콜 미 바이 유어 네임', '레이디 버드', '듄' 등으로 유명하며 국내에서도 많은 사랑을 받는 배우 티모시 샬라메는 이번에도 패션 규범을 깼다.샬라메는 2일(현지시간) 이탈리아 베네치아에서 열린 제79회 베네치아 국제 영화제에 영화 '본즈 앤 올' 레드카펫에 참석, 놀랄 만한 레드카펫 의상을 선보여 다시한번 스포트라이트를 받았다.그가 선택한 의상은 등을 시원하게 드러내는 백리스 탑. 목에 끈을 묶는 홀터넥 형식으로 요염(?)한 매력을 더했다. 잔근육은 덤. 여기에 스키니 바지로 마른 몸의 섹시한 비주얼을 자랑했다. 고혹적인 붉은 색을 자랑하는 이 옷은 디자이너 하이더 아커만의 의상인 것으로 알려졌다. 
이에 소셜 미디어에서는 난리가 났다. 대부분 샬라메가 패션의 경계를 넓히는 것은 분명하며 그이기에 가능한 의상이란 평이다.앞서 그는 제 94회 아카데미 시상식 레드카펫에서도 2022 S/S 루이비통의 여성복 컬렉션을 입고 등장했던 바다. 셔츠를 입지 않은 파격 크롭 스타일 블레이저 의상은 그가 직접 '픽'했다는 전언이다.  
- ""우린 모두 죽어"" 브래드 피트배우 브래드 피트는 자신이 주연을 맡은 영화 시사회에서 파격적인 '치마' 패션을 선보였고 이에 대한 이유도 밝혀 눈길을 끌었다.피트는 패션에 재미를 느끼고 있는 것이 분명하다. 그는 지난 여름 독일 베를린에서 열린 새 액션 영화 '불렛 트레인' 시사회에서 한스 니콜라스 모트의 갈색 리넨 스커트를 입고 등장해 화제를 모았다. 치마와 함께 전투화, 레이어드 목걸이, 핑크빛 리넨 셔츠와 치마와 잘 매치되는 재킷을 선보였던 바다.그리고 최근 미국 LA에서 열린 시사회에서 가진 버라이어티와의 인터뷰에서 그는 치마 패션에 대한 질문에 ""모르겠다! 우리는 모두 죽을 것이니 망가지자""란 이색적인 대답을 내놓았다.앞서 그는 다른 매체의 같은 질문에 ""바람"" 즉, '시원해서'란 간단한 대답을 들려줬던 바다. 
당시의 독일의 수도의 기온이 상당히 높아 그의 패션이 나름 이유를 갖지만 SNS에서는 갑론을박이 이어졌다.""브래드 피트가 치마를 입도록 설득한 사람은 누구든 혼나야 한다"", ""피트가 해변 부랑자처럼 보인다"", ""해리 스타일스 같은 젊은 스타들을 모방하기 위해 열심히 노력하네"" 등의 반응이 트위터에서 이어졌다. 반면 ""치마를 입은 브래드 피트가 내 하루를 무한히 더 좋게 만들었다"", ""난 피트의 치마를 그사랑한다고 단도직입적으로 말할 수 있다"" 등의 반응도 존재했다.그런가하면 브래드 피트는 몇 년 전 영국 보그에 ""남자들은 내년에 치마를 입을 것이다. 그것이 나의 예측이자 선언이다""라고 예견(?)하기도 했다. 
- 이정재보다 진주 목걸이 먼저, 해리 스타일스원디렉션 멤버이자 영화 '덩케르크' 등에 출연한 해리 스타일스는 젠더리스 트렌드의 선두 주자다.꾸준히 여성 옷을 즐겨 입고 이를 즐기는 스타일스는 “남자옷 여자옷이라는 편견 가득한 장벽을 벗어나면 우리 모두의 삶은 행복해질 것이다""라고 말했다.그 만큼 논란도 끊임없이 이어졌는데 흑인 우파 활동가인 캔디스 오웬스는 해리 스타일스이 매거빈 보그 커버에서 선보인 하늘하늘한 드레스 패션 스타일을 흉보며 ""남자다운 남자를 데려와라""라는 글을 SNS에 올리기도 했다. 
 
그러나 해리 스타일스의 이 같은 보그는 선풍적인 인기를 끌며 품절 사태를 일으켰다. 그의 영향력과 그의 패션에 대한 호감도를 엿볼 수 있는 부분이다.진주목걸이도 이정재보다 먼저, 그리고 자주 찼던 해리 스타일스야말로 몸으로 '성의 중립'을 보여주는 인물이라고 할 수 있다. /nyc@osen.co.kr[사진] ⓒGettyimages(무단전재 및 재배포 금지), 소니 픽쳐스,
"
"샤이니 민호, 영국 <b>남자</b> 다 됐네..깔끔한 <b>패션</b> 센스 [스타IN★]","
 
/사진=민호 인스타그램 보이 그룹 샤이니의 멤버 민호가 영국 런던에서 일상을 전했다.민호는 8일 자신의 인스타그램을 통해 ""walk""이라는 문구와 함께 사진을 공개했다.공개된 사진에는 민호가 깔끔한 옷차림에 가디건을 걸치고 영국 건물에서 걷는 모습이 담겼다.이를 본 네티즌들은 ""런던 남자네 아주"", ""어제 사진도 올려주라 잘 생겼더라"", ""민호오빠 런던 너무 예뻐요""라는 등의 반응을 보였다.한편 민호는 현재 영국에 있으며, 지난달 MBC 예능프로그램 '나 혼자 산다'에 출연해 시청자와 만났다. 이상은 인턴기자 star@mtstarnews.com
"
