제목,내용
"서울<b>패션</b>위크 공식 포토부스 씨잌, 다양한 체험으로 &apos;인기 독차지&apos;","

2023F/W 서울패션위크 공식 포토룸 참여한 SEEIK



  2023년 가을, 겨울 패션 트렌드를 선보인 '2023 F/W 서울패션위크'가 동대문 DDP에서 지난 15일부터 닷새간 진행된 가운데 서울시 공식 포토부스를 운영한 SEEIK(씨잌)도 큰 인기를 끌었습니다.  씨잌은 3가지 포토존을 운영해 눈길을 사로잡았습니다.  서울의 패션피플이 한데 모여 자신만의 독특한 패션을 뽐내고 사진촬영을 체험했습니다.  씨잌의 독특한 기술인 음성인식 촬영으로 진행된 런웨이 포토룸은 서울을 상징하는 DDP, 서울야경 등 다양한 배경을 자랑했습니다.



11



  시민들은 이곳에서 패션쇼 런웨이에 서서 사진을 촬영하는 체험을 했습니다.  서울패션쇼 참가 브랜드 로고가 있는 포토월에서도 사진 촬영이 이뤄졌습니다.  시민들은 포토키오스크에서 서울패션위크 로고가 들어간 사진을 인화해 소장했습니다.  한 참여 시민은 ""패션쇼를 직접 볼 수 없었지만 런웨이에 서서 패션모델이 돼 보니 신선했다""고 말했습니다.







  셀프 포토 스튜디오인 셀프 씨잌(SELF SEEIK)은 6개의 독립된 공간에서 콘셉트가 있는 사진을 음성인식으로 촬영할 수 있으며, 촬영 후 현장에서 바로 인화할 수 있고, 인스타그램 등 SNS로 업로드 할 수 있도록 이미지 파일도 저장이 가능합니다.  셀프 씨잌(SELF SEEIK)은 국내 대기업 광고를 다수 촬영했으며 국내외 유명 연예인과 모델을 촬영한 유명 포토그래퍼인 ㈜민관김 김민관 대표의 노하우로 설계·제작됐습니다.   서울패션위크 기간 중 참여한 시민들을 대상으로 에어팟프로2, 한식타파스바 블그레(Blgre) 식사권, 셀프 씨잌과 카페 씨잌 무료 이용권 이벤트도 진행됩니다.

"
서울<b>패션</b>위크 개막…5일간 K-<b>패션</b> 향연 펼쳐진다,"

15일~19일 DDP서 개최, 유튜브 생중계 전세계 송출코로나 이후 최대 규모로 개최얼킨·라이·두칸 등 패션쇼 진행5일간 31개 브랜드 참여…5개 기업 기획전도[이데일리 백주아 기자] K-패션을 대표하는 국내 디자이너들이 다가오는 가을, 겨울 패션 트렌드를 선보이는 국내 최대 규모 패션산업행사인 서울패션위크가 15일 개막한다.  



2023 춘계 서울패션위크 홍보대사 뉴진스 포스터. (사진=서울시)이날부터 19일까지 5일간 전 세계 패션피플들이 동대문디자인플라자(DDP)에 집결하는 만큼 화려한 무대 디자인으로 수준높은 패션쇼를 선보인다. 또 23개국 130여명의 해외바이어가 참여해 5일간 1000건의 상담을 진행하는 트레이스쇼도 진행한다. 2023 가을·겨울(F/W) 서울패션위크는 30개의 디자이너 패션쇼, 1개의 기업패션쇼를 선보인다. 모든 패션쇼는 현장에서 뿐만 아니라 유튜브 동시 생중계를 통해 온라인에서도 만나볼 수 있다. 서울을 대표하는 디자이너인 서울컬렉션 23개 브랜드와 신진 디자이너 제너레이션 넥스트 7개 브랜드, 국내 기업 1개 브랜드가 무대에 선다. 이번 서울패션위크는 100% 현장 패션쇼로 개최하며, 서울패션위크 공식 유튜브 온라인 채널을 통해서도 생중계돼 패션에 관심 있는 일반시민 누구나 실시간으로 만나볼 수 있다.2023 서울패션위크의 관전 포인트는 총 5가지다. △서울패션위크는 22년 만에 달라진 무대 디자인과 다양한 연출 △코로나 이후로 최대 규모의 트레이드쇼 △기업 X 디자이너 개방형 협업 △누구나 참여할 수 있는 DDP 시민참여 프로그램과 기업기획전 △디자이너 제품을 쉽고 편리하게 구매할 수 있는 CJ온스타일 온라인 기획전 등을 들 수 있다.이번 서울패션위크에서 가장 두드러지는 변화는 ‘무대’ 디자인이다. 아트홀1관은 보다 생동감 넘치는 관객 경험을 선사하기 위해 ‘원형’으로 무대를 바꾸고, 아트홀2관은 대형 유기발광다이오드(LED)를 설치해 한층 더 선명하고 영상미가 극대화된 쇼 연출을 선보일 예정이다. 참여브랜드에서는 새로워진 무대를 활용하여 공연, 오브제, 기업과의 콜라보레이션 등을 통해 다양하고 개성 강한 런웨이를 선보인다. 서울패션위크의 시작을 알리는 오프닝 무대는 이날 오후 1시에 ‘얼킨(ul:kin)’의 컬렉션을 시작으로, 라이 등 총 5명의 디자이너가 패션쇼를 선보인다. 특히 이날 오프닝 전 공식포토콜 행사에는 서울패션위크를 주최하는 서울시를 대표해서 오신환 정무부시장과 서울패션위크 글로벌 홍보대사 ‘뉴진스’가 참석해 자리를 빛낸다. 시대의 화두인 친환경 가치 실현에 앞장서고 있는 업사이클링 기반 브랜드 ‘얼킨’은 2014년 버려진 그림을 활용한 디자인을 선보이며 브랜드를 론칭했다. 올해 F/W 서울패션위크 참가 브랜드선정 심사위원 최고점수를 받으며 오프닝 무대에 선정됐다. 오는 19일 박윤수 디자이너의 ‘빅팍’ 패션쇼 이후 이번 패션쇼에 참가한 모든 브랜드들의 대표작품 3개 착장을 한자리에서 선보이는 피날레 패션쇼가 펼쳐지며, 피날레 공연인 뮤지컬 배우 강홍석의 ‘Be yourself 스페셜 스테이지’로 화려한 대장정을 마무리 한다.  올해 22년차…코로나19 이후 최대 규모 개최 



동대문디자인플라자(DDP) 위치도. (사진=서울시)올해로 22년차를 맞이한 올해 서울패션위크에서는 1990년대부터 2000년대까지의 한국 패션의 흐름을 볼 수 있는 디자이너 컬렉션 아카이브 영상을 선보인다. 패션쇼 기간 중 쇼 관람객이라면 아트홀에서 누구나 관람 가능하며, 2023년 시즌 서울패션위크 참여 디자이너들의 봄·여름(S/S) 시즌 컬렉션도 디지털 영상으로 함께 확인할 수 있다. 코로나 이후 최대 규모의 트레이드쇼(수주박람회)도 DDP에서 진행된다. 트레이드쇼는 총 67개 국내 유수 디자이너 브랜드와 신진 디자이너가 참여한다. 해외 구매자(바이어) 23개국 130여명, 국내 온라인 플랫폼?백화점 바이어 100여명 등 총 1100명 이상의 국내외 패션 관계자들이 참여하는 국내 최대 규모의 패션 수주전시회에서는 ‘지속가능성’의 화두를 담아 지난 추계 행사 때 사용한 친환경 원목 부스를 이번에 재사용하는 등 환경·사회·지배구조(ESG) 경영을 실천한다. 패션 뿐만 아니라, 제품 패키지와 소품디자인 개발에 이르는 다양한 협업의 기회를 확인할 수 있는 기업 X 디자이너 개방형 협업을 위한 “밋업(Meet-Up)”도 진행된다. 서울패션위크 기간 동안 DDP로 집결하는 패션피플을 위한 다양한 참여 프로그램도 운영된다. DDP 어울림 광장에서는 패션 인플루언서가 함께하는 라이브 스튜디오와 시민들이 패션쇼 런웨이를 간접적으로 경험해 볼 수 있는 인공지능 음성인식(AI) 포토존 등 패션과 혁신기술이 결합된 다양한 시민체험부스를 ‘케이(K)-패션 스트릿’으로 조성하여 운영할 예정이다. 이 외에도 패션과 첨단기술이 결합된 개별 브랜드 부스들을 통해 색다른 경험과 재미를 제공할 예정이다. 참여한는 브랜드 부스는 총 5개로 무신사, 메르세데스벤츠, 메트로시티, 캐치패션, 비커스이다. 참여 디자이너들의 의상을 누구나 쉽고, 간편하게 구매할 수 있도록 CJ온스타일과 서울패션위크 온라인 기획전을 진행한다. 이번 기획전에서는 F/W 패션쇼에서 마음에 들었던 브랜드의 의상을 온라인에서 10% 할인된 금액으로 만나볼 수 있다. 서울시와 CJ ENM(035760) 커머스 부문 앞으로 국내 패션디자이너들의 온라인 판로를 지원하기 위해 지속적으로 협업할 계획이다. 이번 기획전에는 서울패션위크에서 패션쇼를 펼치는 8개 브랜드가 참여하며, 서울패션위크 기간 내 해당제품구매시 10% 할인을 적용받는다. 참여브랜드는 곽현주컬렉션, 오디너리피플, 얼킨, 그리디어스, 므:아므, 홀리넘버세븐, 두칸, 라이 등이다. 김태균 서울시 경제정책실장은 “서울패션위크는 대한민국의 패션산업을 선도하고, 국내외 패션산업의 교류와 발전에 기여하는 플랫폼으로 확고히 자리잡고 있다”며 “서울패션위크를 통해 국내 디자이너와 브랜드가 그들의 작품과 브랜드를 널리 알리고 K-패션 경쟁력을 키우는 구심점으로 만들 수 있도록 더욱 노력하겠다“고 말했다.

"
"“완성도 높은 K<b>패션</b>, 다양함 갖춰” 바이어 북적","

2023 FW 서울패션위크 성황국내 디자이너들 세대교체 한창…해외 편집숍 바이어들 대거 찾아K콘텐츠 달라진 위상 입증하듯 파리패션위크선 수주액 크게 늘어



15일 서울 중구 동대문디자인플라자(DDP)에서 열린 서울패션위크에서 이청청 디자이너의 브랜드 라이(LIE)가 2023 가을겨울  컬렉션을 선보이고 있다. 이번 서울패션위크에서는 K패션 브랜드에 대한 ‘패션 강국’ 바이어들의 관심이 뜨거웠다. 서울시 제공16일 서울 동대문디자인플라자(DDP)에서 열린 2023 가을겨울(FW) 서울패션위크. 프랑스, 독일, 일본 등 각국 바이어들이 국내 패션 디자이너들의 부스를 돌며 옷을 살펴보는 등 구매 상담이 한창이었다. 현장에서 만난 일본 한큐백화점의 바이어 A 씨는 “한국 패션은 디테일과 완성도가 무척 좋고 빠른 시간 안에 디자인을 만들어 낼 수 있는 생산 부문도 강점이 있다”며 “K팝 등 시대적 조류를 등에 업고 K패션이 주목받는 시대가 왔다”고 말했다.  올해 서울패션위크는 글로벌 패션시장의 문을 두드리는 3세대(업력 약 10년)·4세대(약 5년) 디자이너들이 대거 컬렉션을 공개하며 한국 패션업계의 세대교체를 알리는 자리였다. 15일부터 19일까지 열린 이번 행사에는 프랭탕(프랑스)·한큐(일본)·브라운스패션(영국)·마이테레사(독일) 등 패션 선진국의 백화점과 편집숍 바이어가 대거 참석해 이 디자이너들에게 관심을 가졌다.  한국의 단청과 백자 등 전통 문양을 재해석한 아트워크를 드레스와 셔츠 등에 담는 것으로 유명한 브랜드 두칸(DOUCAN)은 K팝 인기가 해외 진출에 큰 도움이 되고 있다고 강조했다. 실제로 과거 걸그룹 블랙핑크의 제니나 뉴진스의 혜인과 에스파가 두칸의 옷을 입고 나와 화제가 됐었다. 최충훈 두칸 디자이너는 “K컬처가 세계적 유명세를 얻기 전 K패션은 옷 자체만으로 글로벌 무대의 문을 두드려야 했지만, K팝 스타들이 우리 브랜드를 입으면서 홍보 효과를 톡톡히 누리고 있다”고 했다.  실제로 이달 2일(현지 시간)부터 5일까지 프랑스 파리에서 열린 패션박람회인 트라노이(TRANOI)에 마련된 ‘서울패션위크 전용관’에서의 수주 실적은 올해 급증했다. 여성복 브랜드 므아므(MMAM)와 두칸은 각각 올해 수주액이 전년 대비 3배와 1.5배씩 증가할 것으로 예상했다.  국내 하이패션 브랜드가 패션 선진국에서 관심이 높아진 것이 눈여겨볼 만한 지점이다. 그간 패션업계에서는 송지오 우영미 정욱준(준지) 등 2세대 패션 디자이너 이후에 파리패션위크 등에서는 브랜드가 더 이상 나타나지 않는다는 우려가 나왔지만, 올해는 분위기가 달랐다. 행사장에서 만난 바이어 A 씨는 “일본에서는 2018년부터 오아이오아이(OIOI)·널디 등 한국의 스트리트 패션 브랜드들이 큰 인기를 끌었다”며 “최근 한큐백화점에서 이청청 디자이너의 ‘라이(LIE)’ 팝업스토어를 수차례 열었는데 VIP 고객들의 반응이 무척 좋았기 때문에 한국 3, 4세대 디자이너 제품을 많이 구매하려 한다”고 했다.     K패션의 포트폴리오가 다양화되는 분위기도 감지된다. 보더리스 패션을 선보이는 브랜드 므아므의 박현 디자이너는 “패션위크에서 바이어들에게 ‘화려한 프린팅 위주로 선보이는 기존 한국 브랜드와 차별화됐다’는 얘기를 많이 들었다”고 했다.  김성찬 한국패션산업회 부회장은 “해외 진출 초반에는 결실이 없더라도 적어도 3년에서 5년 정도는 지속적인 시장 개척 활동이 필요하다”며 “정부를 비롯해 벤처투자자(VC) 등 민간에서도 자본과 인력이 부족한 인디 디자이너나 패션기업에 아낌없이 투자하는 분위기가 조성돼야 한다” 말했다.

"
"아이유·장원영도 선택…&apos;발라클라바&apos; <b>패션</b>, 올<b>겨울</b>도 강타","





발라클라바 패션을 선보인 가수 아이유(왼쪽)와 장원영. /사진=아이유, 장원영 SNS 캡처지난해에 이어 올해 겨울에도 '발라클라바(Balaclava)' 패션이 유행하고 있다. 발라클라바는 마치 복면을 쓴 것처럼 눈과 입을 제외한 머리 전체를 덮어 체온 유지를 극대화하는 패션이다.29일 패션업계에 따르면 발라클라바 유행은 지난해 여러 스타가 SNS(소셜네트워크서비스)에 발라클라바 사진을 게재한 뒤 본격 시작됐다. 당시 걸그룹 '아이브' 장원영부터 가수 강민경과 혜리, 배우 윤승아와 정려원 등이 SNS에 발라클라바 착용 사진을 게재해 화제를 모았다.올해도 겨울이 찾아와 날씨가 추워지자 스타들이 각자의 SNS에 발라클라바 패션을 선보였다. 가수 아이유와 배우 송혜교, 한지민 등이 얼굴을 꽁꽁 싸맨 모습으로 귀여운 이미지를 연출했다.



/사진=송혜교 SNS 캡처



/사진=한지민 SNS 캡처'스키 마스크'라고도 불리는 발라클라바는 영국 군인들이 추위를 이겨내기 위해 고안한 털실 모자에서 유래된 것으로 알려졌다. 과거 크림전쟁(1853~1856년) 당시 러시아 크림반도에 있는 발라클라바 전투에서 영국군이 착용했던 것으로, 발라클라바라는 이름도 전쟁의 배경이 된 지명에서 따왔다.이후 발라클라바는 추운 곳에서 진행되는 동계 스포츠 선수들이 애용했고, 이로 인해 방한 능력이 뛰어난 스포츠 용품이라는 인식이 강했다.발라클라바는 머리와 귀, 목 등을 모두 덮어주기 때문에 착용 시 체감 온도를 3℃ 이상 높여준다. 체온 상승 효과로 추위에도 목 주변 근육이 경직돼 통증을 느끼는 현상을 완화시켜준다.다만 착용 시 주의해야 할 점도 있다. 입 부분이 막힌 발라클라바를 쓸 경우 숨을 쉬거나 말할 때 용품이 젖어 습한 느낌을 받을 수 있다. 또 두피가 청결하지 않을 때 장기간 착용하면 세균 번식, 염증 등을 유발할 수 있다.



/사진=강민경 SNS 캡처

"
"골든차일드(Golden Child) 동현-지범-태그, 함께 <b>패션</b>쇼 왔어요~ [SS쇼캠]","
[스포츠서울ㅣ윤수경기자] 그룹 골든차일드 멤버 동현, 지범, 태그가 17일 오후 서울 서대문구 이화여대 1길 10 S갤러리에서 열린 '2023 F/W 서울패션위크' 시이안(CEEANN) 포토월 행사에 참석해 포즈를 취하고 있다. 이날 행사에는 트리플에스, 골든차일드 태그, 지범, 동현, 러블리즈 출신 예인, 인피니트 이성종, 여자친구 출신 김소원, 전 아이즈원 이채연 등이 참석해 자리를 빛냈다. 한편, 우리나라 패션을 대표하는 국내 디자이너들이 다가오는 가을, 겨울 패션 트렌드를 선보이는 국내 최대 규모 패션 산업행사인 서울패션위크는 3월 19일까지 동대문디자인플라자(DDP)에서 개최된다. 
yoonssu@sportsseoul.com사진ㅣ유튜브
			"
"비빔블, 서울<b>패션</b>위크 &apos;비커스(bicus) 팝업 부스&apos;서 나만의 3D <b>패션</b> 스캐닝 선...","





2023 가을·겨울 패션 트렌드들을 선보이는 '2023 F/W 서울패션위크'가 진행 중이다. 동대문 DDP에서 19일까지 열리는 본 행사는 서울시가 주최하는 글로벌 패션 이벤트로 최고의 디자이너들이 모여 서울의 패션 산업을 알리는 행사로 패션과 첨단기술이 결합된 개별 브랜드 부스들이 색다른 경험과 재미를 제공한다. 참여브랜드는 무신사, 메르세데스벤츠, 메트로시티, 캐치패션, 메타버스 플랫폼 비커스(bicus)이다.  비커스는 '또 다른 나'를 표현하는 비빔블의 메타버스 플랫폼이다. 과학기술정보통신부가 지원하고 한국전파진흥협회(RAPA)가 주관하는 '2022 메타버스 플랫폼 개발지원사업'을 통해 덱스터스튜디오와 함께 개발하고 있다. 현재는 정식 오픈 이전의 개방형 시범 서비스 개발을 진행하고 있다. 서울패션위크의 '비커스' 브랜드 부스에서는 현장 방문객들이 오늘 나의 OOTD 패션룩을 3D스캐닝 영상으로 남길 수 있는 이벤트가 열리고 있어 다양한 패션피플들의 참여가 이어지고 있다. 기존에는 나만의 스타일을 사진과 영상으로만 표현할 수 있었지만 사진으로 표현이 어려운 패션을 3D로 색다르게 표현할 수 있으며, 의상이나 악세서리의 재질감을 확인할 수 있다고 밝혔다. 이 외에도, 비커스를 직접 플레이할 수 있어 메타버스에서 나만의 페르소나(캐릭터)와 공간을 꾸미고 글로벌 패션피플들을 만날 수 있다. 또한, 즉석에서 3D 스캐닝을 통해 만들어진 내 모습을 담은 패션 피규어도 메타버스 안에서 확인할 수 있다. 비빔블 관계자는 ""체험형 메타버스를 활용함으로써, 시공간의 제약없이 함께 모여 스타일과 패션을 공유하는 새로운 장을 열려 한다""고 포부를 밝혔다.

"
"이채연(Lee Chae yeon), 컷아웃+청바지 풀어헤친 독특 <b>패션</b> [SS쇼캠]","
[스포츠서울ㅣ윤수경기자] 가수 이채연이 17일 오후 서울 서대문구 이화여대 1길 10 S갤러리에서 열린 '2023 F/W 서울패션위크' 시이안(CEEANN) 포토월 행사에 참석해 포즈를 취하고 있다. 이날 행사에는 트리플에스, 골든차일드 태그, 지범, 동현, 러블리즈 출신 예인, 인피니트 이성종, 여자친구 출신 김소원, 전 아이즈원 이채연 등이 참석해 자리를 빛냈다. 한편, 우리나라 패션을 대표하는 국내 디자이너들이 다가오는 가을, 겨울 패션 트렌드를 선보이는 국내 최대 규모 패션 산업행사인 서울패션위크는 3월 19일까지 동대문디자인플라자(DDP)에서 개최된다. 
yoonssu@sportsseoul.com사진ㅣ유튜브
			"
"&quot;나만의 3D <b>패션</b> 스캐닝&quot; 비빔블, 서울<b>패션</b>위크 &apos;비커스 팝업 부스&apos;서 메타버...","





올 가을·겨울 패션을 미리 만나보는 '2023 F/W 서울패션위크'가 동대문 DDP에서 19일까지 진행된다. 서울시가 주최하는 글로벌 패션 이벤트로, 최고의 디자이너들이 한 자리에 모여 서울의 패션 산업을 알리는 행사다.이번 서울패션위크에는 패션과 첨단기술이 결합된 개별 브랜드 부스들이 운영, 방문객들에게 색다른 경험과 재미를 선사한다. 참여브랜드는 무신사, 메르세데스벤츠, 메트로시티, 캐치패션, 메타버스 플랫폼 비커스(bicus)다.비커스(bicus)는 ‘또 다른 나’를 표현하는 비빔블의 메타버스 플랫폼이다. 과학기술정보통신부가 지원하고 한국전파진흥협회(RAPA)가 주관하는 ‘2022 메타버스 플랫폼 개발지원사업’에 참여, 덱스터스튜디오와 함께 개발하고 있다. 현재 정식 오픈 전 개방형 시범 서비스 개발을 진행 중인 단계다.



서울패션위크에 마련된 ‘비커스’ 브랜드 부스를 방문한 사람들은 오늘 나의 OOTD 패션룩을 3D스캐닝 영상으로 남길 수 있는 이벤트에 참여할 수 있다. 다양한 패션피플들의 참여가 이어지고 있다는 것이 관계자의 전언이다.기존에는 나만의 스타일을 표현하고 싶을 때 사진과 영상으로만 남길 수 있었다. 하지만 비커스는 사진으로 표현이 어려운 유니크한 나의 패션을 3D로 색다르게 표현해준다. 특히, 밋밋한 3D가 아닌 의상과 액세서리의 재질감까지 확인할 수 있어 이목을 집중시키고 있다.이외에도 방문객들은 비커스를 직접 플레이할 수 있다. 메타버스에서 나만의 페르소나(캐릭터)와 공간을 꾸미고 글로벌 패션피플들을 만날 수 있는 것. 또한, 즉석에서 3D 스캐닝을 통해 내 모습을 구현한 패션 피규어도 메타버스 안에서 확인할 수 있다.비빔블 관계자는 “기존 메타버스와 다른 체험형 메타버스를 활용해 시공간 제약 없이 함께 모여 스타일과 패션을 공유하는 새로운 장을 열고자 한다”고 밝혔다.

"
"비빔블, 서울<b>패션</b>위크 ‘비커스(bicus) 팝업 부스’에서 나만의 3D <b>패션</b> 스캐...","





[서울경제] 2023 가을·겨울 패션 트렌드들을 선보이는 '2023 F/W 서울패션위크'가 진행중에 있다동대문 DDP에서 19일까지 열리는 본 행사는 서울시가 주최하는 글로벌 패션 이벤트로 최고의 디자이너들이 모여 서울의 패션 산업을 알리는 행사이다. 이번 서울패션위크에는 패션과 첨단기술이 결합된 개별 브랜드 부스들이 색다른 경험과 재미를 제공한다. 참여브랜드는 무신사, 메르세데스벤츠, 메트로시티, 캐치패션, 메타버스 플랫폼 비커스(bicus)이다. 비커스(bicus)는 ‘또 다른 나’를 표현하는 비빔블의 메타버스 플랫폼이다. 과학기술정보통신부가 지원하고 한국전파진흥협회(RAPA)가 주관하는 ‘2022 메타버스 플랫폼 개발지원사업’을 통해 덱스터스튜디오와 함께 개발하고 있다. 현재는 정식 오픈 이전의 개방형 시범 서비스 개발을 진행하고 있다.



서울패션위크의 ‘비커스’ 브랜드 부스에서는 현장 방문객들이 오늘 나의 OOTD 패션룩을 3D스캐닝 영상으로 남길 수 있는 이벤트가 열리고 있어 다양한 패션피플들의 참여가 이어지고 있다.기존, 나만의 스타일을 표현하고 싶을 때 사진과 영상으로만 표현할 수 밖에 없었다. 하지만 비커스에서는, 사진으로 표현이 어려운 유니크한 나의 패션을 3D로 색다르게 표현할 수 있다. 밋밋한 3D가 아닌 의상이나 악세서리의 재질감을 확인할 수 있어 주목을 받고 있다.이 외에도, 비커스를 직접 플레이할 수 있어 메타버스에서 나만의 페르소나(캐릭터)와 공간을 꾸미고 글로벌 패션피플들을 만날 수 있다. 또한, 즉석에서 3D 스캐닝을 통해 만들어진 내 모습을 담은 패션 피규어도 메타버스 안에서 확인할 수 있다비빔블 관계자는 “기존 메타버스와 다른 체험형 메타버스를 활용함으로써, 시공간의 제약없이 함께 모여 스타일과 패션을 공유하는 새로운 장을 열려 한다”라고 포부를 밝혔다한편 2023 F/W 서울패션위크는 DDP에서 3월 15일부터 19일까지 개최되며, 30개 디자이너 브랜드의 패션쇼, 국내 최대 수주박람회인 트레이드쇼, 다양한 시민참여프로그램으로 운영된다. 올해 글로벌 홍보대사로는 그룹 ‘뉴진스(NewJeans)’가 활약하고 있다.

"
"비빔블, 메타버스 플랫폼 ‘비커스(bicus) 팝업 부스’ 서울<b>패션</b>위크 기간 운...","





2023 가을·겨울 패션 트렌드를 미리 확인할 수 있는 '2023 F/W 서울패션위크'가 진행 중이다.본 행사는 서울시가 주최하는 글로벌 패션 이벤트로, 최고의 디자이너들이 모여 서울의 패션 산업을 알리는 행사다. 행사는 동대문 DDP에서 19일까지 진행된다.이번 서울패션위크에는 패션과 첨단 기술을 접목한 개별 부스들이 운영돼 색다른 경험과 재미를 제공한다. 참여브랜드는 무신사, 메르세데스벤츠, 메트로시티, 캐치패션, 메타버스 플랫폼 비커스(bicus)가 있다.비커스(bicus)는 ‘또 다른 나’를 표현하는 비빔블의 메타버스 플랫폼으로, 과학기술정보통신부가 지원하고 한국전파진흥협회(RAPA)가 주관하는 ‘2022 메타버스 플랫폼 개발지원사업’을 통해 덱스터스튜디오와 함께 개발 중이다. 현재는 정식 오픈 이전 단계로, 개방형 시범 서비스 개발을 진행하고 있다.



서울패션위크의 ‘비커스’ 브랜드 부스에서는 오늘 나의 OOTD 패션룩을 3D스캐닝 영상으로 남길 수 있는 이벤트가 현장 방문객들을 대상으로 진행되고 있다. 특별한 경험인 만큼, 다양한 패션피플들의 참여가 이어지고 있다는 것이 관계자의 설명이다.이외에도 부스를 찾은 현장 방문객은 비커스를 직접 플레이할 수 있다. 메타버스상에서 나만의 페르소나(캐릭터)와 공간을 꾸밀 수 있으며, 글로벌 패션피플들도 만나볼 수 있다. 즉석에서 3D 스캐닝을 통해 만들어진 내 모습을 담은 패션 피규어도 메타버스 안에서 확인 가능하다.비빔블 관계자는 “나만의 스타일을 표현하고 싶어도 기존에는 사진과 영상으로만 표현할 수 있었지만, 비커스에서는 사진으로 표현이 어려운 유니크한 나의 패션을 3D로 색다르게 표현할 수 있다”며 “특히, 밋밋한 3D가 아닌 의상이나 액세서리의 재질감까지 확인할 수 있어 주목을 받고 있다”고 말했다.이어 “기존 메타버스와 다른 체험형 메타버스를 활용해 시공간 제약 없이 함께 스타일과 패션을 공유할 수 있는 새로운 장을 열고자 한다”고 덧붙였다.한편 2023 F/W 서울패션위크는 DDP에서 3월 15일부터 19일까지 개최되며, 30개 디자이너 브랜드의 패션쇼, 국내 최대 수주박람회인 트레이드쇼, 다양한 시민참여프로그램으로 운영된다. 올해 글로벌 홍보대사로는 그룹 ‘뉴진스(NewJeans)’가 활약하고 있다.

"
서울<b>패션</b>위크 개막… ‘5일간 K-<b>패션</b>의 향연’,"





걸그룹 뉴진스 멤버들이 15일 서울 동대문디자인플라자(DDP)에서 진행된 '2023 F/W 서울패션위크' 얼킨(ul:kin)의 컬렉션에서 인사를 하고 있다. /뉴스1        K-패션을 대표하는 국내 디자이너들이 가을·겨울 패션 트렌드를 선보이는 서울패션위크가 15일 개막했다.서울시에 따르면 이날부터 19일까지 5일간 동대문디자인플라자(DDP)에서 31개의 디자이너 및 기업 패션쇼가 열린다. 모든 패션쇼는 유튜브를 통해 전 세계에 동시에 중계된다.첫날 행사에는 서울패션위크를 주최하는 서울시를 대표해서 오신환 정무부시장과 서울패션위크 글로벌 홍보대사 ‘뉴진스’가 참석해 자리를 빛냈다.이번 행사에선 23개국 130여 명의 해외 바이어가 참여해 5일간 1000건의 상담을 진행하는 트레이스쇼(수주 박람회)도 진행된다.패션쇼에 등장한 옷을 바로 구매할 수도 있다. 서울시는 CJ ENM 커머스 부문과 협력해 곽현주컬렉션, 오디너리피플, 얼킨, 그리디어스, 므:아므, 홀리넘버세븐, 두칸, 라이 등 패션쇼에 오른 8개 브랜드의 의상을 온라인에서 10% 할인된 가격에 판매한다.김태균 서울시 경제정책실장은 “서울패션위크는 대한민국의 패션산업을 선도하고, 국내외 패션산업의 교류와 발전에 기여하는 플랫폼으로 확고히 자리 잡고 있다”며 “서울패션위크를 통해 국내 디자이너와 브랜드가 그들의 작품과 브랜드를 널리 알리고 K-패션 경쟁력을 키우는 구심점으로 만들 수 있도록 더욱 노력하겠다”고 말했다.

"
